emoji,short_name,codepoints,keywords,category,subcategory,sort_order
🛣️,motorway,1F6E3 FE0F,motorway,Travel & Places,transport-ground,2988
🛤️,railway_track,1F6E4 FE0F,railway track,Travel & Places,transport-ground,2989
🛢️,oil_drum,1F6E2 FE0F,oil drum,Travel & Places,transport-ground,2990
⛽️,fuel_pump,26FD FE0F,fuel pump,Travel & Places,transport-ground,2991
🛞,wheel,1F6DE,wheel,Travel & Places,transport-ground,2992
🚨,police_car_light,1F6A8,police car light,Travel & Places,transport-ground,2993
🚥,horizontal_traffic_light,1F6A5,horizontal traffic light,Travel & Places,transport-ground,2994
🚦,vertical_traffic_light,1F6A6,vertical traffic light,Travel & Places,transport-ground,2995
🛑,stop_sign,1F6D1,stop sign,Travel & Places,transport-ground,2996
🚧,construction,1F6A7,construction,Travel & Places,transport-ground,2997
⚓️,anchor,2693 FE0F,anchor,Travel & Places,transport-water,2998
🛟,ring_buoy,1F6DF,ring buoy,Travel & Places,transport-water,2999
⛵️,sailboat,26F5 FE0F,sailboat,Travel & Places,transport-water,3000
🛶,canoe,1F6F6,canoe,Travel & Places,transport-water,3001
🚤,speedboat,1F6A4,speedboat,Travel & Places,transport-water,3002
🛳️,passenger_ship,1F6F3 FE0F,passenger ship,Travel & Places,transport-water,3003
⛴️,ferry,26F4 FE0F,ferry,Travel & Places,transport-water,3004
🛥️,motor_boat,1F6E5 FE0F,motor boat,Travel & Places,transport-water,3005
🚢,ship,1F6A2,ship,Travel & Places,transport-water,3006
✈️,airplane,2708 FE0F,airplane,Travel & Places,transport-air,3007
🛩️,small_airplane,1F6E9 FE0F,small airplane,Travel & Places,transport-air,3008
🛫,airplane_departure,1F6EB,airplane departure,Travel & Places,transport-air,3009
🛬,airplane_arrival,1F6EC,airplane arrival,Travel & Places,transport-air,3010
🪂,parachute,1FA82,parachute,Travel & Places,transport-air,3011
💺,seat,1F4BA,seat,Travel & Places,transport-air,3012
🚁,helicopter,1F681,helicopter,Travel & Places,transport-air,3013
🚟,suspension_railway,1F69F,suspension railway,Travel & Places,transport-air,3014
🚠,mountain_cableway,1F6A0,mountain cableway,Travel & Places,transport-air,3015
🚡,aerial_tramway,1F6A1,aerial tramway,Travel & Places,transport-air,3016
🛰️,satellite,1F6F0 FE0F,satellite,Travel & Places,transport-air,3017
🚀,rocket,1F680,rocket,Travel & Places,transport-air,3018
🛸,flying_saucer,1F6F8,flying saucer,Travel & Places,transport-air,3019
🛎️,bellhop_bell,1F6CE FE0F,bellhop bell,Travel & Places,hotel,3020
🧳,luggage,1F9F3,luggage,Travel & Places,hotel,3021
⌛️,hourglass_done,231B FE0F,hourglass done,Travel & Places,time,3022
⏳️,hourglass_not_done,23F3 FE0F,hourglass not done,Travel & Places,time,3023
⌚️,watch,231A FE0F,watch,Travel & Places,time,3024
⏰️,alarm_clock,23F0 FE0F,alarm clock,Travel & Places,time,3025
⏱️,stopwatch,23F1 FE0F,stopwatch,Travel & Places,time,3026
⏲️,timer_clock,23F2 FE0F,timer clock,Travel & Places,time,3027
🕰️,mantelpiece_clock,1F570 FE0F,mantelpiece clock,Travel & Places,time,3028
🕛️,twelve_o_clock,1F55B FE0F,twelve o clock,Travel & Places,time,3029
🕧️,twelve_thirty,1F567 FE0F,twelve thirty,Travel & Places,time,3030
🕐️,one_o_clock,1F550 FE0F,one o clock,Travel & Places,time,3031
🕜️,one_thirty,1F55C FE0F,one thirty,Travel & Places,time,3032
🕑️,two_o_clock,1F551 FE0F,two o clock,Travel & Places,time,3033
🕝️,two_thirty,1F55D FE0F,two thirty,Travel & Places,time,3034
🕒️,three_o_clock,1F552 FE0F,three o clock,Travel & Places,time,3035
🕞️,three_thirty,1F55E FE0F,three thirty,Travel & Places,time,3036
🕓️,four_o_clock,1F553 FE0F,four o clock,Travel & Places,time,3037
🕟️,four_thirty,1F55F FE0F,four thirty,Travel & Places,time,3038
🕔️,five_o_clock,1F554 FE0F,five o clock,Travel & Places,time,3039
🕠️,five_thirty,1F560 FE0F,five thirty,Travel & Places,time,3040
🕕️,six_o_clock,1F555 FE0F,six o clock,Travel & Places,time,3041
🕡️,six_thirty,1F561 FE0F,six thirty,Travel & Places,time,3042
🕖️,seven_o_clock,1F556 FE0F,seven o clock,Travel & Places,time,3043
🕢️,seven_thirty,1F562 FE0F,seven thirty,Travel & Places,time,3044
🕗️,eight_o_clock,1F557 FE0F,eight o clock,Travel & Places,time,3045
🕣️,eight_thirty,1F563 FE0F,eight thirty,Travel & Places,time,3046
🕘️,nine_o_clock,1F558 FE0F,nine o clock,Travel & Places,time,3047
🕤️,nine_thirty,1F564 FE0F,nine thirty,Travel & Places,time,3048
🕙️,ten_o_clock,1F559 FE0F,ten o clock,Travel & Places,time,3049
🕥️,ten_thirty,1F565 FE0F,ten thirty,Travel & Places,time,3050
🕚️,eleven_o_clock,1F55A FE0F,eleven o clock,Travel & Places,time,3051
🕦️,eleven_thirty,1F566 FE0F,eleven thirty,Travel & Places,time,3052
🌑,new_moon,1F311,new moon,Travel & Places,sky & weather,3053
🌒,waxing_crescent_moon,1F312,waxing crescent moon,Travel & Places,sky & weather,3054
🌓,first_quarter_moon,1F313,first quarter moon,Travel & Places,sky & weather,3055
🌔,waxing_gibbous_moon,1F314,waxing gibbous moon,Travel & Places,sky & weather,3056
🌕️,full_moon,1F315 FE0F,full moon,Travel & Places,sky & weather,3057
🌖,waning_gibbous_moon,1F316,waning gibbous moon,Travel & Places,sky & weather,3058
🌗,last_quarter_moon,1F317,last quarter moon,Travel & Places,sky & weather,3059
🌘,waning_crescent_moon,1F318,waning crescent moon,Travel & Places,sky & weather,3060
🌙,crescent_moon,1F319,crescent moon,Travel & Places,sky & weather,3061
🌚,new_moon_face,1F31A,new moon face,Travel & Places,sky & weather,3062
🌛,first_quarter_moon_face,1F31B,first quarter moon face,Travel & Places,sky & weather,3063
🌜️,last_quarter_moon_face,1F31C FE0F,last quarter moon face,Travel & Places,sky & weather,3064
🌡️,thermometer,1F321 FE0F,thermometer,Travel & Places,sky & weather,3065
☀️,sun,2600 FE0F,sun,Travel & Places,sky & weather,3066
🌝,full_moon_face,1F31D,full moon face,Travel & Places,sky & weather,3067
🌞,sun_with_face,1F31E,sun with face,Travel & Places,sky & weather,3068
🪐,ringed_planet,1FA90,ringed planet,Travel & Places,sky & weather,3069
⭐️,star,2B50 FE0F,star,Travel & Places,sky & weather,3070
🌟,glowing_star,1F31F,glowing star,Travel & Places,sky & weather,3071
🌠,shooting_star,1F320,shooting star,Travel & Places,sky & weather,3072
🌌,milky_way,1F30C,milky way,Travel & Places,sky & weather,3073
☁️,cloud,2601 FE0F,cloud,Travel & Places,sky & weather,3074
⛅️,sun_behind_cloud,26C5 FE0F,sun behind cloud,Travel & Places,sky & weather,3075
⛈️,cloud_with_lightning_and_rain,26C8 FE0F,cloud with lightning and rain,Travel & Places,sky & weather,3076
🌤️,sun_behind_small_cloud,1F324 FE0F,sun behind small cloud,Travel & Places,sky & weather,3077
🌥️,sun_behind_large_cloud,1F325 FE0F,sun behind large cloud,Travel & Places,sky & weather,3078
🌦️,sun_behind_rain_cloud,1F326 FE0F,sun behind rain cloud,Travel & Places,sky & weather,3079
🌧️,cloud_with_rain,1F327 FE0F,cloud with rain,Travel & Places,sky & weather,3080
🌨️,cloud_with_snow,1F328 FE0F,cloud with snow,Travel & Places,sky & weather,3081
🌩️,cloud_with_lightning,1F329 FE0F,cloud with lightning,Travel & Places,sky & weather,3082
🌪️,tornado,1F32A FE0F,tornado,Travel & Places,sky & weather,3083
🌫️,fog,1F32B FE0F,fog,Travel & Places,sky & weather,3084
🌬️,wind_face,1F32C FE0F,wind face,Travel & Places,sky & weather,3085
🌀,cyclone,1F300,cyclone,Travel & Places,sky & weather,3086
🌈,rainbow,1F308,rainbow,Travel & Places,sky & weather,3087
🌂,closed_umbrella,1F302,closed umbrella,Travel & Places,sky & weather,3088
☂️,umbrella,2602 FE0F,umbrella,Travel & Places,sky & weather,3089
☔️,umbrella_with_rain_drops,2614 FE0F,umbrella with rain drops,Travel & Places,sky & weather,3090
⛱️,umbrella_on_ground,26F1 FE0F,umbrella on ground,Travel & Places,sky & weather,3091
⚡️,high_voltage,26A1 FE0F,high voltage,Travel & Places,sky & weather,3092
❄️,snowflake,2744 FE0F,snowflake,Travel & Places,sky & weather,3093
☃️,snowman,2603 FE0F,snowman,Travel & Places,sky & weather,3094
⛄️,snowman_without_snow,26C4 FE0F,snowman without snow,Travel & Places,sky & weather,3095
☄️,comet,2604 FE0F,comet,Travel & Places,sky & weather,3096
🔥,fire,1F525,fire,Travel & Places,sky & weather,3097
💧,droplet,1F4A7,droplet,Travel & Places,sky & weather,3098
🌊,water_wave,1F30A,water wave,Travel & Places,sky & weather,3099
🎃,jack_o_lantern,1F383,jack o lantern,Activities,event,3100
🎄,christmas_tree,1F384,christmas tree,Activities,event,3101
🎆,fireworks,1F386,fireworks,Activities,event,3102
🎇,sparkler,1F387,sparkler,Activities,event,3103
🧨,firecracker,1F9E8,firecracker,Activities,event,3104
✨️,sparkles,2728 FE0F,sparkles,Activities,event,3105
🎈,balloon,1F388,balloon,Activities,event,3106
🎉,party_popper,1F389,party popper,Activities,event,3107
🎊,confetti_ball,1F38A,confetti ball,Activities,event,3108
🎋,tanabata_tree,1F38B,tanabata tree,Activities,event,3109
🎍,pine_decoration,1F38D,pine decoration,Activities,event,3110
🎎,japanese_dolls,1F38E,japanese dolls,Activities,event,3111
🎏,carp_streamer,1F38F,carp streamer,Activities,event,3112
🎐,wind_chime,1F390,wind chime,Activities,event,3113
🎑,moon_viewing_ceremony,1F391,moon viewing ceremony,Activities,event,3114
🧧,red_envelope,1F9E7,red envelope,Activities,event,3115
🎀,ribbon,1F380,ribbon,Activities,event,3116
🎁,wrapped_gift,1F381,wrapped gift,Activities,event,3117
🎗️,reminder_ribbon,1F397 FE0F,reminder ribbon,Activities,event,3118
🎟️,admission_tickets,1F39F FE0F,admission tickets,Activities,event,3119
🎫,ticket,1F3AB,ticket,Activities,event,3120
🎖️,military_medal,1F396 FE0F,military medal,Activities,award-medal,3121
🏆️,trophy,1F3C6 FE0F,trophy,Activities,award-medal,3122
🏅,sports_medal,1F3C5,sports medal,Activities,award-medal,3123
🥇,1st_place_medal,1F947,1st place medal,Activities,award-medal,3124
🥈,2nd_place_medal,1F948,2nd place medal,Activities,award-medal,3125
🥉,3rd_place_medal,1F949,3rd place medal,Activities,award-medal,3126
⚽️,soccer_ball,26BD FE0F,soccer ball,Activities,sport,3127
⚾️,baseball,26BE FE0F,baseball,Activities,sport,3128
🥎,softball,1F94E,softball,Activities,sport,3129
🏀,basketball,1F3C0,basketball,Activities,sport,3130
🏐,volleyball,1F3D0,volleyball,Activities,sport,3131
🏈,american_football,1F3C8,american football,Activities,sport,3132
🏉,rugby_football,1F3C9,rugby football,Activities,sport,3133
🎾,tennis,1F3BE,tennis,Activities,sport,3134
🥏,flying_disc,1F94F,flying disc,Activities,sport,3135
🎳,bowling,1F3B3,bowling,Activities,sport,3136
🏏,cricket_game,1F3CF,cricket game,Activities,sport,3137
🏑,field_hockey,1F3D1,field hockey,Activities,sport,3138
🏒,ice_hockey,1F3D2,ice hockey,Activities,sport,3139
🥍,lacrosse,1F94D,lacrosse,Activities,sport,3140
🏓,ping_pong,1F3D3,ping pong,Activities,sport,3141
🏸,badminton,1F3F8,badminton,Activities,sport,3142
🥊,boxing_glove,1F94A,boxing glove,Activities,sport,3143
🥋,martial_arts_uniform,1F94B,martial arts uniform,Activities,sport,3144
🥅,goal_net,1F945,goal net,Activities,sport,3145
⛳️,flag_in_hole,26F3 FE0F,flag in hole,Activities,sport,3146
⛸️,ice_skate,26F8 FE0F,ice skate,Activities,sport,3147
🎣,fishing_pole,1F3A3,fishing pole,Activities,sport,3148
🤿,diving_mask,1F93F,diving mask,Activities,sport,3149
🎽,running_shirt,1F3BD,running shirt,Activities,sport,3150
🎿,skis,1F3BF,skis,Activities,sport,3151
🛷,sled,1F6F7,sled,Activities,sport,3152
🥌,curling_stone,1F94C,curling stone,Activities,sport,3153
🎯,bullseye,1F3AF,bullseye,Activities,game,3154
🪀,yo_yo,1FA80,yo,Activities,game,3155
🪁,kite,1FA81,kite,Activities,game,3156
🔫,water_pistol,1F52B,water pistol,Activities,game,3157
🎱,pool_8_ball,1F3B1,pool 8 ball,Activities,game,3158
🔮,crystal_ball,1F52E,crystal ball,Activities,game,3159
🪄,magic_wand,1FA84,magic wand,Activities,game,3160
🎮️,video_game,1F3AE FE0F,video game,Activities,game,3161
🕹️,joystick,1F579 FE0F,joystick,Activities,game,3162
🎰,slot_machine,1F3B0,slot machine,Activities,game,3163
🎲,game_die,1F3B2,game die,Activities,game,3164
🧩,puzzle_piece,1F9E9,puzzle piece,Activities,game,3165
🧸,teddy_bear,1F9F8,teddy bear,Activities,game,3166
🪅,pinata,1FA85,pinata,Activities,game,3167
🪩,mirror_ball,1FAA9,mirror ball,Activities,game,3168
🪆,nesting_dolls,1FA86,nesting dolls,Activities,game,3169
♠️,spade_suit,2660 FE0F,spade suit,Activities,game,3170
♥️,heart_suit,2665 FE0F,heart suit,Activities,game,3171
♦️,diamond_suit,2666 FE0F,diamond suit,Activities,game,3172
♣️,club_suit,2663 FE0F,club suit,Activities,game,3173
♟️,chess_pawn,265F FE0F,chess pawn,Activities,game,3174
🃏,joker,1F0CF,joker,Activities,game,3175
🀄️,mahjong_red_dragon,1F004 FE0F,mahjong red dragon,Activities,game,3176
🎴,flower_playing_cards,1F3B4,flower playing cards,Activities,game,3177
🎭️,performing_arts,1F3AD FE0F,performing arts,Activities,arts & crafts,3178
🖼️,framed_picture,1F5BC FE0F,framed picture,Activities,arts & crafts,3179
🎨,artist_palette,1F3A8,artist palette,Activities,arts & crafts,3180
🧵,thread,1F9F5,thread,Activities,arts & crafts,3181
🪡,sewing_needle,1FAA1,sewing needle,Activities,arts & crafts,3182
🧶,yarn,1F9F6,yarn,Activities,arts & crafts,3183
🪢,knot,1FAA2,knot,Activities,arts & crafts,3184
👓️,glasses,1F453 FE0F,glasses,Objects,clothing,3185
🕶️,sunglasses,1F576 FE0F,sunglasses,Objects,clothing,3186
🥽,goggles,1F97D,goggles,Objects,clothing,3187
🥼,lab_coat,1F97C,lab coat,Objects,clothing,3188
🦺,safety_vest,1F9BA,safety vest,Objects,clothing,3189
👔,necktie,1F454,necktie,Objects,clothing,3190
👕,t_shirt,1F455,t shirt,Objects,clothing,3191
👖,jeans,1F456,jeans,Objects,clothing,3192
🧣,scarf,1F9E3,scarf,Objects,clothing,3193
🧤,gloves,1F9E4,gloves,Objects,clothing,3194
🧥,coat,1F9E5,coat,Objects,clothing,3195
🧦,socks,1F9E6,socks,Objects,clothing,3196
👗,dress,1F457,dress,Objects,clothing,3197
👘,kimono,1F458,kimono,Objects,clothing,3198
🥻,sari,1F97B,sari,Objects,clothing,3199
🩱,one_piece_swimsuit,1FA71,one piece swimsuit,Objects,clothing,3200
🩲,briefs,1FA72,briefs,Objects,clothing,3201
🩳,shorts,1FA73,shorts,Objects,clothing,3202
👙,bikini,1F459,bikini,Objects,clothing,3203
👚,woman_s_clothes,1F45A,woman s clothes,Objects,clothing,3204
🪭,folding_hand_fan,1FAAD,folding hand fan,Objects,clothing,3205
👛,purse,1F45B,purse,Objects,clothing,3206
👜,handbag,1F45C,handbag,Objects,clothing,3207
👝,clutch_bag,1F45D,clutch bag,Objects,clothing,3208
🛍️,shopping_bags,1F6CD FE0F,shopping bags,Objects,clothing,3209
🎒,backpack,1F392,backpack,Objects,clothing,3210
🩴,thong_sandal,1FA74,thong sandal,Objects,clothing,3211
👞,man_s_shoe,1F45E,man s shoe,Objects,clothing,3212
👟,running_shoe,1F45F,running shoe,Objects,clothing,3213
🥾,hiking_boot,1F97E,hiking boot,Objects,clothing,3214
🥿,flat_shoe,1F97F,flat shoe,Objects,clothing,3215
👠,high_heeled_shoe,1F460,high heeled shoe,Objects,clothing,3216
👡,woman_s_sandal,1F461,woman s sandal,Objects,clothing,3217
🩰,ballet_shoes,1FA70,ballet shoes,Objects,clothing,3218
👢,woman_s_boot,1F462,woman s boot,Objects,clothing,3219
🪮,hair_pick,1FAAE,hair pick,Objects,clothing,3220
👑,crown,1F451,crown,Objects,clothing,3221
👒,woman_s_hat,1F452,woman s hat,Objects,clothing,3222
🎩,top_hat,1F3A9,top hat,Objects,clothing,3223
🎓️,graduation_cap,1F393 FE0F,graduation cap,Objects,clothing,3224
🧢,billed_cap,1F9E2,billed cap,Objects,clothing,3225
🪖,military_helmet,1FA96,military helmet,Objects,clothing,3226
⛑️,rescue_worker_s_helmet,26D1 FE0F,rescue worker s helmet,Objects,clothing,3227
📿,prayer_beads,1F4FF,prayer beads,Objects,clothing,3228
💄,lipstick,1F484,lipstick,Objects,clothing,3229
💍,ring,1F48D,ring,Objects,clothing,3230
💎,gem_stone,1F48E,gem stone,Objects,clothing,3231
🔇,muted_speaker,1F507,muted speaker,Objects,sound,3232
🔈️,speaker_low_volume,1F508 FE0F,speaker low volume,Objects,sound,3233
🔉,speaker_medium_volume,1F509,speaker medium volume,Objects,sound,3234
🔊,speaker_high_volume,1F50A,speaker high volume,Objects,sound,3235
📢,loudspeaker,1F4E2,loudspeaker,Objects,sound,3236
📣,megaphone,1F4E3,megaphone,Objects,sound,3237
📯,postal_horn,1F4EF,postal horn,Objects,sound,3238
🔔,bell,1F514,bell,Objects,sound,3239
🔕,bell_with_slash,1F515,bell with slash,Objects,sound,3240
🎼,musical_score,1F3BC,musical score,Objects,music,3241
🎵,musical_note,1F3B5,musical note,Objects,music,3242
🎶,musical_notes,1F3B6,musical notes,Objects,music,3243
🎙️,studio_microphone,1F399 FE0F,studio microphone,Objects,music,3244
🎚️,level_slider,1F39A FE0F,level slider,Objects,music,3245
🎛️,control_knobs,1F39B FE0F,control knobs,Objects,music,3246
🎤,microphone,1F3A4,microphone,Objects,music,3247
🎧️,headphone,1F3A7 FE0F,headphone,Objects,music,3248
📻️,radio,1F4FB FE0F,radio,Objects,music,3249
🎷,saxophone,1F3B7,saxophone,Objects,musical-instrument,3250
🎺,trumpet,1F3BA,trumpet,Objects,musical-instrument,3251
🪊,trombone,1FA8A,trombone,Objects,musical-instrument,3252
🪗,accordion,1FA97,accordion,Objects,musical-instrument,3253
🎸,guitar,1F3B8,guitar,Objects,musical-instrument,3254
🎹,musical_keyboard,1F3B9,musical keyboard,Objects,musical-instrument,3255
🎻,violin,1F3BB,violin,Objects,musical-instrument,3256
🪕,banjo,1FA95,banjo,Objects,musical-instrument,3257
🥁,drum,1F941,drum,Objects,musical-instrument,3258
🪘,long_drum,1FA98,long drum,Objects,musical-instrument,3259
🪇,maracas,1FA87,maracas,Objects,musical-instrument,3260
🪈,flute,1FA88,flute,Objects,musical-instrument,3261
🪉,harp,1FA89,harp,Objects,musical-instrument,3262
📱,mobile_phone,1F4F1,mobile phone,Objects,phone,3263
📲,mobile_phone_with_arrow,1F4F2,mobile phone with arrow,Objects,phone,3264
☎️,telephone,260E FE0F,telephone,Objects,phone,3265
📞,telephone_receiver,1F4DE,telephone receiver,Objects,phone,3266
📟️,pager,1F4DF FE0F,pager,Objects,phone,3267
📠,fax_machine,1F4E0,fax machine,Objects,phone,3268
🔋,battery,1F50B,battery,Objects,computer,3269
🪫,low_battery,1FAAB,low battery,Objects,computer,3270
🔌,electric_plug,1F50C,electric plug,Objects,computer,3271
💻️,laptop,1F4BB FE0F,laptop,Objects,computer,3272
🖥️,desktop_computer,1F5A5 FE0F,desktop computer,Objects,computer,3273
🖨️,printer,1F5A8 FE0F,printer,Objects,computer,3274
⌨️,keyboard,2328 FE0F,keyboard,Objects,computer,3275
🖱️,computer_mouse,1F5B1 FE0F,computer mouse,Objects,computer,3276
🖲️,trackball,1F5B2 FE0F,trackball,Objects,computer,3277
💽,computer_disk,1F4BD,computer disk,Objects,computer,3278
💾,floppy_disk,1F4BE,floppy disk,Objects,computer,3279
💿️,optical_disk,1F4BF FE0F,optical disk,Objects,computer,3280
📀,dvd,1F4C0,dvd,Objects,computer,3281
🧮,abacus,1F9EE,abacus,Objects,computer,3282
🎥,movie_camera,1F3A5,movie camera,Objects,light & video,3283
🎞️,film_frames,1F39E FE0F,film frames,Objects,light & video,3284
📽️,film_projector,1F4FD FE0F,film projector,Objects,light & video,3285
🎬️,clapper_board,1F3AC FE0F,clapper board,Objects,light & video,3286
📺️,television,1F4FA FE0F,television,Objects,light & video,3287
📷️,camera,1F4F7 FE0F,camera,Objects,light & video,3288
📸,camera_with_flash,1F4F8,camera with flash,Objects,light & video,3289
📹️,video_camera,1F4F9 FE0F,video camera,Objects,light & video,3290
📼,videocassette,1F4FC,videocassette,Objects,light & video,3291
🔍️,magnifying_glass_tilted_left,1F50D FE0F,magnifying glass tilted left,Objects,light & video,3292
🔎,magnifying_glass_tilted_right,1F50E,magnifying glass tilted right,Objects,light & video,3293
🕯️,candle,1F56F FE0F,candle,Objects,light & video,3294
💡,light_bulb,1F4A1,light bulb,Objects,light & video,3295
🔦,flashlight,1F526,flashlight,Objects,light & video,3296
🏮,red_paper_lantern,1F3EE,red paper lantern,Objects,light & video,3297
🪔,diya_lamp,1FA94,diya lamp,Objects,light & video,3298
📔,notebook_with_decorative_cover,1F4D4,notebook with decorative cover,Objects,book-paper,3299
📕,closed_book,1F4D5,closed book,Objects,book-paper,3300
📖,open_book,1F4D6,open book,Objects,book-paper,3301
📗,green_book,1F4D7,green book,Objects,book-paper,3302
📘,blue_book,1F4D8,blue book,Objects,book-paper,3303
📙,orange_book,1F4D9,orange book,Objects,book-paper,3304
📚️,books,1F4DA FE0F,books,Objects,book-paper,3305
📓,notebook,1F4D3,notebook,Objects,book-paper,3306
📒,ledger,1F4D2,ledger,Objects,book-paper,3307
📃,page_with_curl,1F4C3,page with curl,Objects,book-paper,3308
📜,scroll,1F4DC,scroll,Objects,book-paper,3309
📄,page_facing_up,1F4C4,page facing up,Objects,book-paper,3310
📰,newspaper,1F4F0,newspaper,Objects,book-paper,3311
🗞️,rolled_up_newspaper,1F5DE FE0F,rolled up newspaper,Objects,book-paper,3312
📑,bookmark_tabs,1F4D1,bookmark tabs,Objects,book-paper,3313
🔖,bookmark,1F516,bookmark,Objects,book-paper,3314
🏷️,label,1F3F7 FE0F,label,Objects,book-paper,3315
🪙,coin,1FA99,coin,Objects,money,3316
💰️,money_bag,1F4B0 FE0F,money bag,Objects,money,3317
🪎,treasure_chest,1FA8E,treasure chest,Objects,money,3318
💴,yen_banknote,1F4B4,yen banknote,Objects,money,3319
💵,dollar_banknote,1F4B5,dollar banknote,Objects,money,3320
💶,euro_banknote,1F4B6,euro banknote,Objects,money,3321
💷,pound_banknote,1F4B7,pound banknote,Objects,money,3322
💸,money_with_wings,1F4B8,money with wings,Objects,money,3323
💳️,credit_card,1F4B3 FE0F,credit card,Objects,money,3324
🧾,receipt,1F9FE,receipt,Objects,money,3325
💹,chart_increasing_with_yen,1F4B9,chart increasing with yen,Objects,money,3326
✉️,envelope,2709 FE0F,envelope,Objects,mail,3327
📧,e_mail,1F4E7,e mail,Objects,mail,3328
📨,incoming_envelope,1F4E8,incoming envelope,Objects,mail,3329
📩,envelope_with_arrow,1F4E9,envelope with arrow,Objects,mail,3330
📤️,outbox_tray,1F4E4 FE0F,outbox tray,Objects,mail,3331
📥️,inbox_tray,1F4E5 FE0F,inbox tray,Objects,mail,3332
📦️,package,1F4E6 FE0F,package,Objects,mail,3333
📫️,closed_mailbox_with_raised_flag,1F4EB FE0F,closed mailbox with raised flag,Objects,mail,3334
📪️,closed_mailbox_with_lowered_flag,1F4EA FE0F,closed mailbox with lowered flag,Objects,mail,3335
📬️,open_mailbox_with_raised_flag,1F4EC FE0F,open mailbox with raised flag,Objects,mail,3336
📭️,open_mailbox_with_lowered_flag,1F4ED FE0F,open mailbox with lowered flag,Objects,mail,3337
📮,postbox,1F4EE,postbox,Objects,mail,3338
🗳️,ballot_box_with_ballot,1F5F3 FE0F,ballot box with,Objects,mail,3339
✏️,pencil,270F FE0F,pencil,Objects,writing,3340
✒️,black_nib,2712 FE0F,black nib,Objects,writing,3341
🖋️,fountain_pen,1F58B FE0F,fountain pen,Objects,writing,3342
🖊️,pen,1F58A FE0F,pen,Objects,writing,3343
🖌️,paintbrush,1F58C FE0F,paintbrush,Objects,writing,3344
🖍️,crayon,1F58D FE0F,crayon,Objects,writing,3345
📝,memo,1F4DD,memo,Objects,writing,3346
💼,briefcase,1F4BC,briefcase,Objects,office,3347
📁,file_folder,1F4C1,file folder,Objects,office,3348
📂,open_file_folder,1F4C2,open file folder,Objects,office,3349
🗂️,card_index_dividers,1F5C2 FE0F,card index dividers,Objects,office,3350
📅,calendar,1F4C5,calendar,Objects,office,3351
📆,tear_off_calendar,1F4C6,tear off calendar,Objects,office,3352
🗒️,spiral_notepad,1F5D2 FE0F,spiral notepad,Objects,office,3353
🗓️,spiral_calendar,1F5D3 FE0F,spiral calendar,Objects,office,3354
📇,card_index,1F4C7,card index,Objects,office,3355
📈,chart_increasing,1F4C8,chart increasing,Objects,office,3356
📉,chart_decreasing,1F4C9,chart decreasing,Objects,office,3357
📊,bar_chart,1F4CA,bar chart,Objects,office,3358
📋️,clipboard,1F4CB FE0F,clipboard,Objects,office,3359
📌,pushpin,1F4CC,pushpin,Objects,office,3360
📍,round_pushpin,1F4CD,round pushpin,Objects,office,3361
📎,paperclip,1F4CE,paperclip,Objects,office,3362
🖇️,linked_paperclips,1F587 FE0F,linked paperclips,Objects,office,3363
📏,straight_ruler,1F4CF,straight ruler,Objects,office,3364
📐,triangular_ruler,1F4D0,triangular ruler,Objects,office,3365
✂️,scissors,2702 FE0F,scissors,Objects,office,3366
🗃️,card_file_box,1F5C3 FE0F,card file box,Objects,office,3367
🗄️,file_cabinet,1F5C4 FE0F,file cabinet,Objects,office,3368
🗑️,wastebasket,1F5D1 FE0F,wastebasket,Objects,office,3369
🔒️,locked,1F512 FE0F,locked,Objects,lock,3370
🔓️,unlocked,1F513 FE0F,unlocked,Objects,lock,3371
🔏,locked_with_pen,1F50F,locked with pen,Objects,lock,3372
🔐,locked_with_key,1F510,locked with key,Objects,lock,3373
🔑,key,1F511,key,Objects,lock,3374
🗝️,old_key,1F5DD FE0F,old key,Objects,lock,3375
🔨,hammer,1F528,hammer,Objects,tool,3376
🪓,axe,1FA93,axe,Objects,tool,3377
⛏️,pick,26CF FE0F,pick,Objects,tool,3378
⚒️,hammer_and_pick,2692 FE0F,hammer and pick,Objects,tool,3379
🛠️,hammer_and_wrench,1F6E0 FE0F,hammer and wrench,Objects,tool,3380
🗡️,dagger,1F5E1 FE0F,dagger,Objects,tool,3381
⚔️,crossed_swords,2694 FE0F,crossed swords,Objects,tool,3382
💣️,bomb,1F4A3 FE0F,bomb,Objects,tool,3383
🪃,boomerang,1FA83,boomerang,Objects,tool,3384
🏹,bow_and_arrow,1F3F9,bow and arrow,Objects,tool,3385
🛡️,shield,1F6E1 FE0F,shield,Objects,tool,3386
🪚,carpentry_saw,1FA9A,carpentry saw,Objects,tool,3387
🔧,wrench,1F527,wrench,Objects,tool,3388
🪛,screwdriver,1FA9B,screwdriver,Objects,tool,3389
🔩,nut_and_bolt,1F529,nut and bolt,Objects,tool,3390
⚙️,gear,2699 FE0F,gear,Objects,tool,3391
🗜️,clamp,1F5DC FE0F,clamp,Objects,tool,3392
⚖️,balance_scale,2696 FE0F,balance scale,Objects,tool,3393
🦯,white_cane,1F9AF,white cane,Objects,tool,3394
🔗,link,1F517,link,Objects,tool,3395
⛓️‍💥,broken_chain,26D3 FE0F 200D 1F4A5,broken chain,Objects,tool,3396
⛓️,chains,26D3 FE0F,chains,Objects,tool,3397
