emoji,short_name,codepoints,keywords,category,subcategory,sort_order
🧖🏾,person_in_steamy_room_medium_dark_skin_tone,1F9D6 1F3FE,person in steamy room medium dark skin tone,People & Body,person-activity,1872
🧖🏿,person_in_steamy_room_dark_skin_tone,1F9D6 1F3FF,person in steamy room dark skin tone,People & Body,person-activity,1873
🧖‍♂️,man_in_steamy_room,1F9D6 200D 2642 FE0F,man in steamy room,People & Body,person-activity,1874
🧖🏻‍♂️,man_in_steamy_room_light_skin_tone,1F9D6 1F3FB 200D 2642 FE0F,man in steamy room light skin tone,People & Body,person-activity,1875
🧖🏼‍♂️,man_in_steamy_room_medium_light_skin_tone,1F9D6 1F3FC 200D 2642 FE0F,man in steamy room medium light skin tone,People & Body,person-activity,1876
🧖🏽‍♂️,man_in_steamy_room_medium_skin_tone,1F9D6 1F3FD 200D 2642 FE0F,man in steamy room medium skin tone,People & Body,person-activity,1877
🧖🏾‍♂️,man_in_steamy_room_medium_dark_skin_tone,1F9D6 1F3FE 200D 2642 FE0F,man in steamy room medium dark skin tone,People & Body,person-activity,1878
🧖🏿‍♂️,man_in_steamy_room_dark_skin_tone,1F9D6 1F3FF 200D 2642 FE0F,man in steamy room dark skin tone,People & Body,person-activity,1879
🧖‍♀️,woman_in_steamy_room,1F9D6 200D 2640 FE0F,woman in steamy room,People & Body,person-activity,1880
🧖🏻‍♀️,woman_in_steamy_room_light_skin_tone,1F9D6 1F3FB 200D 2640 FE0F,woman in steamy room light skin tone,People & Body,person-activity,1881
🧖🏼‍♀️,woman_in_steamy_room_medium_light_skin_tone,1F9D6 1F3FC 200D 2640 FE0F,woman in steamy room medium light skin tone,People & Body,person-activity,1882
🧖🏽‍♀️,woman_in_steamy_room_medium_skin_tone,1F9D6 1F3FD 200D 2640 FE0F,woman in steamy room medium skin tone,People & Body,person-activity,1883
🧖🏾‍♀️,woman_in_steamy_room_medium_dark_skin_tone,1F9D6 1F3FE 200D 2640 FE0F,woman in steamy room medium dark skin tone,People & Body,person-activity,1884
🧖🏿‍♀️,woman_in_steamy_room_dark_skin_tone,1F9D6 1F3FF 200D 2640 FE0F,woman in steamy room dark skin tone,People & Body,person-activity,1885
🧗,person_climbing,1F9D7,person climbing,People & Body,person-activity,1886
🧗🏻,person_climbing_light_skin_tone,1F9D7 1F3FB,person climbing light skin tone,People & Body,person-activity,1887
🧗🏼,person_climbing_medium_light_skin_tone,1F9D7 1F3FC,person climbing medium light skin tone,People & Body,person-activity,1888
🧗🏽,person_climbing_medium_skin_tone,1F9D7 1F3FD,person climbing medium skin tone,People & Body,person-activity,1889
🧗🏾,person_climbing_medium_dark_skin_tone,1F9D7 1F3FE,person climbing medium dark skin tone,People & Body,person-activity,1890
🧗🏿,person_climbing_dark_skin_tone,1F9D7 1F3FF,person climbing dark skin tone,People & Body,person-activity,1891
🧗‍♂️,man_climbing,1F9D7 200D 2642 FE0F,man climbing,People & Body,person-activity,1892
🧗🏻‍♂️,man_climbing_light_skin_tone,1F9D7 1F3FB 200D 2642 FE0F,man climbing light skin tone,People & Body,person-activity,1893
🧗🏼‍♂️,man_climbing_medium_light_skin_tone,1F9D7 1F3FC 200D 2642 FE0F,man climbing medium light skin tone,People & Body,person-activity,1894
🧗🏽‍♂️,man_climbing_medium_skin_tone,1F9D7 1F3FD 200D 2642 FE0F,man climbing medium skin tone,People & Body,person-activity,1895
🧗🏾‍♂️,man_climbing_medium_dark_skin_tone,1F9D7 1F3FE 200D 2642 FE0F,man climbing medium dark skin tone,People & Body,person-activity,1896
🧗🏿‍♂️,man_climbing_dark_skin_tone,1F9D7 1F3FF 200D 2642 FE0F,man climbing dark skin tone,People & Body,person-activity,1897
🧗‍♀️,woman_climbing,1F9D7 200D 2640 FE0F,woman climbing,People & Body,person-activity,1898
